"sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"13-MASO-2.8-08142018-W","Nitrogen",2018-08-14,"KN",TRUE,1.09,"mg/l",NA,"mg/l",0.1,"","A",""
"13-MASO-2.8-08142018-W","Nitrogen, ammonia (As N)",2018-08-14,"7664-41-7",TRUE,0.0431,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-MASO-2.8-08142018-W","NITROGEN, KJELDAHL, TOTAL",2018-08-14,"KN",TRUE,0.91,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-MASO-2.8-08142018-W","NITROGEN, NITRATE (AS N)",2018-08-14,"14797-55-8",TRUE,0.188,"mg/l",NA,"mg/l",0.01,"","A",""
"13-MASO-2.8-08142018-W","NITROGEN, NITRITE",2018-08-14,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Accuracy error"
"13-MASO-2.8-08142018-W","PHOSPHORUS, TOTAL (AS P)",2018-08-14,"7723-14-0",TRUE,0.208,"mg/l",0.02,"mg/l",0.05,"","A",""
"13-MASO-2.8-08142018-W","TURBIDITY",2018-08-14,"TURB",TRUE,11.8,"ntu",0.06,"ntu",0.1,"","A",""
"13-MASO-2.8-09052018-W","Nitrate+Nitrite as Nitrogen",2018-09-05,"NO3NO2N",TRUE,0.267,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-MASO-2.8-09052018-W","Nitrogen",2018-09-05,"KN",TRUE,0.91,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error"
"13-MASO-2.8-09052018-W","Nitrogen, ammonia (As N)",2018-09-05,"7664-41-7",TRUE,0.0177,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-MASO-2.8-09052018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-05,"KN",TRUE,0.64,"mg/l",0.08,"mg/l",0.1,"","J","estimated value due to Equipment Blank error"
"13-MASO-2.8-09052018-W","NITROGEN, NITRATE (AS N)",2018-09-05,"14797-55-8",TRUE,0.267,"mg/l",NA,"mg/l",0.01,"","A",""
"13-MASO-2.8-09052018-W","NITROGEN, NITRITE",2018-09-05,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-MASO-2.8-09052018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-05,"7723-14-0",TRUE,0.0724,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-MASO-2.8-09052018-W","TURBIDITY",2018-09-05,"TURB",TRUE,2.21,"ntu",0.06,"ntu",0.1,"","A",""
"13-MASO-2.8-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.0885,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-MASO-2.8-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.83,"mg/l",NA,"mg/l",0.1,"","A",""
"13-MASO-2.8-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0089,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-MASO-2.8-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.75,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-MASO-2.8-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,0.089,"mg/l",NA,"mg/l",0.01,"","R","Result should be less than the total"
"13-MASO-2.8-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-MASO-2.8-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0502,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-MASO-2.8-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,1.65,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-PKIL-5.7-0.7-07252018-WS","Nitrate+Nitrite as Nitrogen",2018-07-25,"NO3NO2N",TRUE,0.136,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-PKIL-5.7-0.7-07252018-WS","Nitrogen",2018-07-25,"KN",TRUE,1.36,"mg/l",NA,"mg/l",0.1,"","A",""
"13-PKIL-5.7-0.7-07252018-WS","Nitrogen, ammonia (As N)",2018-07-25,"7664-41-7",TRUE,0.0205,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-PKIL-5.7-0.7-07252018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-25,"KN",TRUE,1.22,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-PKIL-5.7-0.7-07252018-WS","NITROGEN, NITRATE (AS N)",2018-07-25,"14797-55-8",TRUE,0.136,"mg/l",NA,"mg/l",0.01,"","A",""
"13-PKIL-5.7-0.7-07252018-WS","NITROGEN, NITRITE",2018-07-25,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-PKIL-5.7-0.7-07252018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-25,"7723-14-0",TRUE,0.0894,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-PKIL-5.7-0.7-07252018-WS","TURBIDITY",2018-07-25,"TURB",TRUE,17.4,"ntu",0.06,"ntu",0.1,"","A",""
"13-PKIL-5.7-07112018-W","Nitrate+Nitrite as Nitrogen",2018-07-11,"NO3NO2N",TRUE,0.576,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-PKIL-5.7-07112018-W","Nitrogen",2018-07-11,"KN",TRUE,0.87,"mg/l",NA,"mg/l",0.1,"","A",""
"13-PKIL-5.7-07112018-W","Nitrogen, ammonia (As N)",2018-07-11,"7664-41-7",TRUE,0.0226,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-PKIL-5.7-07112018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-11,"KN",TRUE,0.3,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-PKIL-5.7-07112018-W","NITROGEN, NITRATE (AS N)",2018-07-11,"14797-55-8",TRUE,0.576,"mg/l",NA,"mg/l",0.01,"","A",""
"13-PKIL-5.7-07112018-W","NITROGEN, NITRITE",2018-07-11,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-PKIL-5.7-07112018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-11,"7723-14-0",TRUE,0.0423,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-PKIL-5.7-07112018-W","TURBIDITY",2018-07-11,"TURB",TRUE,2.14,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-PKIL-5.7-08152018-W","Nitrate+Nitrite as Nitrogen",2018-08-15,"NO3NO2N",TRUE,0.129,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-PKIL-5.7-08152018-W","Nitrogen",2018-08-15,"KN",TRUE,0.84,"mg/l",NA,"mg/l",0.1,"","A",""
"13-PKIL-5.7-08152018-W","Nitrogen, ammonia (As N)",2018-08-15,"7664-41-7",TRUE,0.0705,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-PKIL-5.7-08152018-W","NITROGEN, KJELDAHL, TOTAL",2018-08-15,"KN",TRUE,0.71,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-PKIL-5.7-08152018-W","NITROGEN, NITRATE (AS N)",2018-08-15,"14797-55-8",TRUE,0.129,"mg/l",NA,"mg/l",0.01,"","A",""
"13-PKIL-5.7-08152018-W","NITROGEN, NITRITE",2018-08-15,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-PKIL-5.7-08152018-W","PHOSPHORUS, TOTAL (AS P)",2018-08-15,"7723-14-0",TRUE,0.0729,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-PKIL-5.7-08152018-W","TURBIDITY",2018-08-15,"TURB",TRUE,4.58,"ntu",0.06,"ntu",0.1,"","A",""
"13-PKIL-5.7-09062018-W","Nitrate+Nitrite as Nitrogen",2018-09-06,"NO3NO2N",TRUE,0.535,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-PKIL-5.7-09062018-W","Nitrogen",2018-09-06,"KN",TRUE,0.99,"mg/l",NA,"mg/l",0.1,"","A",""
"13-PKIL-5.7-09062018-W","Nitrogen, ammonia (As N)",2018-09-06,"7664-41-7",TRUE,0.0285,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-PKIL-5.7-09062018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-06,"KN",TRUE,0.45,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-PKIL-5.7-09062018-W","NITROGEN, NITRATE (AS N)",2018-09-06,"14797-55-8",TRUE,0.535,"mg/l",NA,"mg/l",0.01,"","A",""
"13-PKIL-5.7-09062018-W","NITROGEN, NITRITE",2018-09-06,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-PKIL-5.7-09062018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-06,"7723-14-0",TRUE,0.0545,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-PKIL-5.7-09062018-W","TURBIDITY",2018-09-06,"TURB",TRUE,2.07,"ntu",0.06,"ntu",0.1,"","A",""
"13-PKIL-5.7-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.233,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-PKIL-5.7-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.78,"mg/l",NA,"mg/l",0.1,"","A",""
"13-PKIL-5.7-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0117,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-PKIL-5.7-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.54,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-PKIL-5.7-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,0.233,"mg/l",NA,"mg/l",0.01,"","A",""
"13-PKIL-5.7-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-PKIL-5.7-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0375,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-PKIL-5.7-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,1.66,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-POCH-2.6-07102018-W","Nitrate+Nitrite as Nitrogen",2018-07-10,"NO3NO2N",TRUE,0.385,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-POCH-2.6-07102018-W","Nitrogen",2018-07-10,"KN",TRUE,0.92,"mg/l",NA,"mg/l",0.1,"","A",""
"13-POCH-2.6-07102018-W","Nitrogen, ammonia (As N)",2018-07-10,"7664-41-7",TRUE,0.0221,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-POCH-2.6-07102018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-10,"KN",TRUE,0.54,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-POCH-2.6-07102018-W","NITROGEN, NITRATE (AS N)",2018-07-10,"14797-55-8",TRUE,0.385,"mg/l",NA,"mg/l",0.01,"","A",""
"13-POCH-2.6-07102018-W","NITROGEN, NITRITE",2018-07-10,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-POCH-2.6-07102018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-10,"7723-14-0",TRUE,0.0963,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-POCH-2.6-07102018-W","TURBIDITY",2018-07-10,"TURB",TRUE,4.14,"ntu",0.06,"ntu",0.1,"","A",""
"13-POCH-2.6-07242018-WS","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N",TRUE,0.361,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-POCH-2.6-07242018-WS","Nitrogen",2018-07-24,"KN",TRUE,0.94,"mg/l",NA,"mg/l",0.1,"","A",""
"13-POCH-2.6-07242018-WS","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7",TRUE,0.0586,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-POCH-2.6-07242018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN",TRUE,0.58,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-POCH-2.6-07242018-WS","NITROGEN, NITRATE (AS N)",2018-07-24,"14797-55-8",TRUE,0.349,"mg/l",NA,"mg/l",0.01,"","A",""
"13-POCH-2.6-07242018-WS","NITROGEN, NITRITE",2018-07-24,"14797-65-0",TRUE,0.012,"mg/l",0.007,"mg/l",0.01,"","A",""
"13-POCH-2.6-07242018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0",TRUE,0.127,"mg/l",0.004,"mg/l",0.01,"","A",""
"13-POCH-2.6-07242018-WS","TURBIDITY",2018-07-24,"TURB",TRUE,4.77,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-POCH-2.6-08142018-W","Nitrate+Nitrite as Nitrogen",2018-08-14,"NO3NO2N",TRUE,0.693,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-POCH-2.6-08142018-W","Nitrogen",2018-08-14,"KN",TRUE,1.55,"mg/l",NA,"mg/l",0.1,"","A",""
"13-POCH-2.6-08142018-W","Nitrogen, ammonia (As N)",2018-08-14,"7664-41-7",TRUE,0.0801,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-POCH-2.6-08142018-W","NITROGEN, KJELDAHL, TOTAL",2018-08-14,"KN",TRUE,0.85,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-POCH-2.6-08142018-W","NITROGEN, NITRATE (AS N)",2018-08-14,"14797-55-8",TRUE,0.676,"mg/l",NA,"mg/l",0.01,"","A",""
"13-POCH-2.6-08142018-W","NITROGEN, NITRITE",2018-08-14,"14797-65-0",TRUE,0.017,"mg/l",0.007,"mg/l",0.01,"","R","Accuracy error"
"13-POCH-2.6-08142018-W","PHOSPHORUS, TOTAL (AS P)",2018-08-14,"7723-14-0",TRUE,0.154,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-POCH-2.6-08142018-W","TURBIDITY",2018-08-14,"TURB",TRUE,8.67,"ntu",0.06,"ntu",0.1,"","A",""
"13-POCH-2.6-09052018-W","Nitrate+Nitrite as Nitrogen",2018-09-05,"NO3NO2N",TRUE,0.527,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-POCH-2.6-09052018-W","Nitrogen",2018-09-05,"KN",TRUE,1.12,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error"
"13-POCH-2.6-09052018-W","Nitrogen, ammonia (As N)",2018-09-05,"7664-41-7",TRUE,0.0546,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-POCH-2.6-09052018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-05,"KN",TRUE,0.6,"mg/l",0.08,"mg/l",0.1,"","T",""
"13-POCH-2.6-09052018-W","NITROGEN, NITRATE (AS N)",2018-09-05,"14797-55-8",TRUE,0.512,"mg/l",NA,"mg/l",0.01,"","A",""
"13-POCH-2.6-09052018-W","NITROGEN, NITRITE",2018-09-05,"14797-65-0",TRUE,0.016,"mg/l",0.007,"mg/l",0.01,"","A",""
"13-POCH-2.6-09052018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-05,"7723-14-0",TRUE,0.143,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-POCH-2.6-09052018-W","TURBIDITY",2018-09-05,"TURB",TRUE,7.32,"ntu",0.06,"ntu",0.1,"","A",""
"13-POCH-2.6-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.295,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-POCH-2.6-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.83,"mg/l",NA,"mg/l",0.1,"","A",""
"13-POCH-2.6-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0233,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-POCH-2.6-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.54,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-POCH-2.6-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,0.295,"mg/l",NA,"mg/l",0.01,"","A",""
"13-POCH-2.6-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-POCH-2.6-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0874,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-POCH-2.6-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,2.04,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-RIOG-T1-0.8-07102018-W","Nitrate+Nitrite as Nitrogen",2018-07-10,"NO3NO2N",TRUE,0.563,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
"13-RIOG-T1-0.8-07102018-W","Nitrogen",2018-07-10,"KN",TRUE,1.19,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RIOG-T1-0.8-07102018-W","Nitrogen, ammonia (As N)",2018-07-10,"7664-41-7",TRUE,0.0425,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RIOG-T1-0.8-07102018-W","NITROGEN, KJELDAHL, TOTAL",2018-07-10,"KN",TRUE,0.62,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RIOG-T1-0.8-07102018-W","NITROGEN, NITRATE (AS N)",2018-07-10,"14797-55-8",TRUE,0.563,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RIOG-T1-0.8-07102018-W","NITROGEN, NITRITE",2018-07-10,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-RIOG-T1-0.8-07102018-W","PHOSPHORUS, TOTAL (AS P)",2018-07-10,"7723-14-0",TRUE,0.159,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-RIOG-T1-0.8-07102018-W","TURBIDITY",2018-07-10,"TURB",TRUE,2.42,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"13-RIOG-T1-0.8-08142018-W","Nitrate+Nitrite as Nitrogen",2018-08-14,"NO3NO2N",TRUE,0.381,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RIOG-T1-0.8-08142018-W","Nitrogen",2018-08-14,"KN",TRUE,1.45,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RIOG-T1-0.8-08142018-W","Nitrogen, ammonia (As N)",2018-08-14,"7664-41-7",TRUE,0.138,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RIOG-T1-0.8-08142018-W","NITROGEN, KJELDAHL, TOTAL",2018-08-14,"KN",TRUE,1.07,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RIOG-T1-0.8-08142018-W","NITROGEN, NITRATE (AS N)",2018-08-14,"14797-55-8",TRUE,0.367,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RIOG-T1-0.8-08142018-W","NITROGEN, NITRITE",2018-08-14,"14797-65-0",TRUE,0.014,"mg/l",0.007,"mg/l",0.01,"","R","Accuracy error"
"13-RIOG-T1-0.8-08142018-W","PHOSPHORUS, TOTAL (AS P)",2018-08-14,"7723-14-0",TRUE,0.174,"mg/l",0.01,"mg/l",0.025,"","A",""
"13-RIOG-T1-0.8-08142018-W","TURBIDITY",2018-08-14,"TURB",TRUE,12.5,"ntu",0.06,"ntu",0.1,"","A",""
"13-RIOG-TI-0.8-09052018-W","Nitrate+Nitrite as Nitrogen",2018-09-05,"NO3NO2N",TRUE,0.418,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RIOG-TI-0.8-09052018-W","Nitrogen",2018-09-05,"KN",TRUE,0.95,"mg/l",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error"
"13-RIOG-TI-0.8-09052018-W","Nitrogen, ammonia (As N)",2018-09-05,"7664-41-7",TRUE,0.0269,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RIOG-TI-0.8-09052018-W","NITROGEN, KJELDAHL, TOTAL",2018-09-05,"KN",TRUE,0.53,"mg/l",0.08,"mg/l",0.1,"","T",""
"13-RIOG-TI-0.8-09052018-W","NITROGEN, NITRATE (AS N)",2018-09-05,"14797-55-8",TRUE,0.418,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RIOG-TI-0.8-09052018-W","NITROGEN, NITRITE",2018-09-05,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-RIOG-TI-0.8-09052018-W","PHOSPHORUS, TOTAL (AS P)",2018-09-05,"7723-14-0",TRUE,0.108,"mg/l",0.004,"mg/l",0.01,"","A",""
"13-RIOG-TI-0.8-09052018-W","TURBIDITY",2018-09-05,"TURB",TRUE,1.23,"ntu",0.06,"ntu",0.1,"","A",""
"13-RIOG_T1-0.8-10022018-W","Nitrate+Nitrite as Nitrogen",2018-10-02,"NO3NO2N",TRUE,0.363,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RIOG_T1-0.8-10022018-W","Nitrogen",2018-10-02,"KN",TRUE,0.96,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RIOG_T1-0.8-10022018-W","Nitrogen, ammonia (As N)",2018-10-02,"7664-41-7",TRUE,0.0335,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RIOG_T1-0.8-10022018-W","NITROGEN, KJELDAHL, TOTAL",2018-10-02,"KN",TRUE,0.6,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RIOG_T1-0.8-10022018-W","NITROGEN, NITRATE (AS N)",2018-10-02,"14797-55-8",TRUE,0.363,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RIOG_T1-0.8-10022018-W","NITROGEN, NITRITE",2018-10-02,"14797-65-0",TRUE,NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"13-RIOG_T1-0.8-10022018-W","PHOSPHORUS, TOTAL (AS P)",2018-10-02,"7723-14-0",TRUE,0.0676,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-RIOG_T1-0.8-10022018-W","TURBIDITY",2018-10-02,"TURB",TRUE,2.94,"ntu",0.06,"ntu",0.1,"","A",""
"13-RIOG_TI-0.8-07242018-WS","Nitrate+Nitrite as Nitrogen",2018-07-24,"NO3NO2N",TRUE,0.255,"mg/l",7e-04,"mg/l",0.002,"","A",""
"13-RIOG_TI-0.8-07242018-WS","Nitrogen",2018-07-24,"KN",TRUE,0.78,"mg/l",NA,"mg/l",0.1,"","A",""
"13-RIOG_TI-0.8-07242018-WS","Nitrogen, ammonia (As N)",2018-07-24,"7664-41-7",TRUE,0.0397,"mg/l",8e-04,"mg/l",0.005,"","A",""
"13-RIOG_TI-0.8-07242018-WS","NITROGEN, KJELDAHL, TOTAL",2018-07-24,"KN",TRUE,0.53,"mg/l",0.08,"mg/l",0.1,"","A",""
"13-RIOG_TI-0.8-07242018-WS","NITROGEN, NITRATE (AS N)",2018-07-24,"14797-55-8",TRUE,0.243,"mg/l",NA,"mg/l",0.01,"","A",""
"13-RIOG_TI-0.8-07242018-WS","NITROGEN, NITRITE",2018-07-24,"14797-65-0",TRUE,0.012,"mg/l",0.007,"mg/l",0.01,"","A",""
"13-RIOG_TI-0.8-07242018-WS","PHOSPHORUS, TOTAL (AS P)",2018-07-24,"7723-14-0",TRUE,0.0948,"mg/l",0.002,"mg/l",0.005,"","A",""
"13-RIOG_TI-0.8-07242018-WS","TURBIDITY",2018-07-24,"TURB",TRUE,8.18,"ntu",0.06,"ntu",0.1,"","A",""
"13-RUTG-9.3-07102018-W","Nitrate+Nitrite as Nitrogen",2018-07-10,"NO3NO2N",TRUE,1.05,"mg/l",7e-04,"mg/l",0.002,"","R","Accuracy error"
