sample_name,DEC_sample_type,sys_sample_code,lab_anl_method_name,analysis_date,fraction,column_number,test_type,lab_matrix_code,analysis_location,basis,container_id,dilution_factor,prep_method,prep_date,leachate_method,leachate_date,lab_name_code,qc_level,lab_sample_id,percent_moisture,subsample_amount,subsample_amount_unit,analyst_name,instrument_id,comment.x,preservative,final_volume,final_volume_unit,cas_rn,chemical_name,result_value,result_error_delta,result_type_code,reportable_result,detect_flag,lab_qualifiers,validator_qualifiers,interpreted_qualifiers,validated_yn,method_detection_limit,reporting_detection_limit,quantitation_limit,result_unit,detection_limit_unit,tic_retention_time,minimum_detectable_conc,counting_error,uncertainty,critical_value,validation_level,result_comment,qc_original_conc,qc_spike_added,qc_spike_measured,qc_spike_recovery,qc_dup_original_conc,qc_dup_spike_added,qc_dup_spike_measured,qc_dup_spike_recovery,qc_rpd,qc_spike_lcl,qc_spike_ucl,qc_rpd_cl,qc_spike_status,qc_dup_spike_status,qc_rpd_status,lab_sdg,X.data_provider,sample_matrix_code,sample_type_code,sample_source,parent_sample_code,sample_delivery_group,sample_date,sys_loc_code,start_depth,end_depth,depth_unit,chain_of_custody,sent_to_lab_date,sample_receipt_date,sampler,sampling_company_code,sampling_reason,sampling_technique,task_code,collection_quarter,composite_yn,composite_desc,sample_class,custom_field_1,custom_field_2,custom_field_3,comment.y
13-GUNK-T35-0.2-07112018-W,N,13-GUNK-T35-0.2-07112018-W,E365.1,7/25/2018 20:19,T,NA,initial,WS,LB,NA,NA,10,METHOD,7/20/2018 15:30,NA,NA,ALSRNY,quant,R1806544-010,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.193,NA,TRG,Yes,Y,,NA,,NA,0.02,NA,0.05,mg/l,mg/l,NA,0.02,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 11:15,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-GUNK-T35-0.2-07112018-W,N,13-GUNK-T35-0.2-07112018-W,SM2540C,7/18/2018 21:05,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806544-010,NA,100,mL,NA,NA,NA,NA,100,mL,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",319,NA,TRG,Yes,Y,,NA,,NA,4,NA,10,mg/l,mg/l,NA,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 11:15,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-GUNK-T35-0.2-07112018-W,N,13-GUNK-T35-0.2-07112018-W,E300.0,7/16/2018 15:38,T,NA,initial,WS,LB,NA,NA,40,,,NA,NA,ALSRNY,quant,R1806544-010,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),111,NA,TRG,Yes,Y,,NA,,NA,0.5,NA,8,mg/l,mg/l,NA,0.5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 11:15,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-GUNK-T35-0.2-07112018-W,N,13-GUNK-T35-0.2-07112018-W,SM10200H,7/26/2018 12:00,T,NA,initial,WS,LB,NA,NA,20,METHOD,7/12/2018 11:05,NA,NA,ALSRNY,quant,R1806544-010,NA,150,mL,NA,NA,NA,NA,150,mL,479-61-8,Chlorophyll A,194,NA,TRG,Yes,Y,,NA,,NA,NA,NA,5.3,ug/l,ug/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 11:15,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-GUNK-T35-0.2-07112018-W,N,13-GUNK-T35-0.2-07112018-W,SM 2320 B,7/23/2018 21:07,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806544-010,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",98.8,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 11:15,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-GUNK-T35-0.2-07112018-W,N,13-GUNK-T35-0.2-07112018-W,D6919-09,7/19/2018 14:13,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806544-010,NA,10,mL,NA,NA,NA,NA,10,mL,7664-41-7,"Nitrogen, ammonia (As N)",0.136,NA,TRG,Yes,Y,,NA,,NA,8.00E-04,NA,0.005,mg/l,mg/l,NA,8.00E-04,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 11:15,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,,13-LGUN-6.0-07112018-WMS,E300.0,7/13/2018 19:48,T,NA,initial,WS,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1806544-013MS,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),61.2,NA,SC,Yes,Y,,NA,,NA,0.2,NA,2,mg/l,mg/l,NA,0.2,NA,NA,NA,NA,,42.2,20,61.2,95,NA,NA,NA,NA,,75,125,20,,,NA,R1806544,ALSRNY,WS,MS,Lab,13-LGUN-6.0-07112018-W,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,,13-LGUN-6.0-07112018-WMS,E365.1,7/25/2018 19:32,T,NA,initial,WS,LB,NA,NA,1,METHOD,7/20/2018 15:30,NA,NA,ALSRNY,quant,R1806544-013MS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0638,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.005,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,0.0413,0.025,0.0638,90,NA,NA,NA,NA,,75,125,20,,,NA,R1806544,ALSRNY,WS,MS,Lab,13-LGUN-6.0-07112018-W,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,,13-LGUN-6.0-07112018-WMSD,E300.0,7/13/2018 19:54,T,NA,initial,WS,LB,NA,NA,10,,,NA,NA,ALSRNY,quant,R1806544-013DMS,NA,10,mL,NA,NA,NA,NA,10,mL,16887-00-6,CHLORIDE (AS CL),61.1,NA,SC,Yes,Y,,NA,,NA,0.2,NA,2,mg/l,mg/l,NA,0.2,NA,NA,NA,NA,,NA,NA,NA,NA,42.2,20,61.1,95,<1,75,125,20,,,NA,R1806544,ALSRNY,WS,SD,Lab,13-LGUN-6.0-07112018-W,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,,13-LGUN-6.0-07112018-WMSD,E365.1,7/25/2018 19:33,T,NA,initial,WS,LB,NA,NA,1,METHOD,7/20/2018 15:30,NA,NA,ALSRNY,quant,R1806544-013DMS,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.062,NA,SC,Yes,Y,,NA,,NA,0.002,NA,0.005,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,0.0413,0.025,0.062,83,3,75,125,20,,,NA,R1806544,ALSRNY,WS,SD,Lab,13-LGUN-6.0-07112018-W,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,E365.1,7/25/2018 19:31,T,NA,initial,WS,LB,NA,NA,1,METHOD,7/20/2018 15:30,NA,NA,ALSRNY,quant,R1806544-013,NA,20,mL,NA,NA,NA,NA,20,mL,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",0.0413,NA,TRG,Yes,Y,,NA,,NA,0.002,NA,0.005,mg/l,mg/l,NA,0.002,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,SM 2320 B,7/23/2018 21:31,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806544-013,NA,0,mL,NA,NA,NA,NA,NA,,ALK,"ALKALINITY, TOTAL (AS CaCO3)",53.2,NA,TRG,Yes,Y,,NA,,NA,1,NA,2,mg/l,mg/l,NA,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,E351.2,7/25/2018 12:42,T,NA,initial,WS,LB,NA,NA,1,METHOD,7/24/2018 11:57,NA,NA,ALSRNY,quant,R1806544-013,NA,20,mL,NA,NA,NA,NA,20,mL,KN,"NITROGEN, KJELDAHL, TOTAL",0.48,NA,TRG,Yes,Y,,NA,,NA,0.08,NA,0.2,mg/l,mg/l,NA,0.08,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,E200.7,7/18/2018 13:33,T,NA,initial,WS,LB,NA,NA,1,SW3010A,7/16/2018 0:00,NA,NA,ALSRNY,quant,R1806544-013,NA,10,mL,NA,NA,NA,NA,10,mL,7439-89-6,Iron,347,NA,TRG,Yes,Y,,NA,,NA,13,NA,100,ug/l,ug/l,NA,13,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,E200.8,7/17/2018 15:33,T,NA,initial,WS,LB,NA,NA,1,E200.0,7/16/2018 0:00,NA,NA,ALSRNY,quant,R1806544-013,NA,10,mL,NA,NA,NA,NA,10,mL,7429-90-5,Aluminum,98.1,NA,TRG,Yes,Y,,NA,,NA,2.3,NA,10,ug/l,ug/l,NA,2.3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,E180.1,7/12/2018 12:25,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806544-013,NA,NA,,NA,NA,NA,NA,NA,,TURB,TURBIDITY,3.91,NA,TRG,Yes,Y,,NA,,NA,0.06,NA,0.1,ntu,ntu,NA,0.06,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,E200.8,7/17/2018 15:33,T,NA,initial,WS,LB,NA,NA,1,E200.0,7/16/2018 0:00,NA,NA,ALSRNY,quant,R1806544-013,NA,10,mL,NA,NA,NA,NA,10,mL,7440-22-4,Silver,NA,NA,TRG,Yes,N,U,NA,U,NA,0.039,0.039,1,ug/l,ug/l,NA,0.039,NA,NA,NA,NA,not detected,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,SM2340B,7/18/2018 13:33,T,NA,initial,WS,LB,NA,NA,1,,7/16/2018 0:00,NA,NA,ALSRNY,quant,R1806544-013,NA,0,mL,NA,NA,NA,NA,NA,,HARD,HARDNESS (AS CACO3),67.1,NA,TRG,Yes,Y,,NA,,NA,NA,NA,6.62,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
13-LGUN-6.0-07112018-W,N,13-LGUN-6.0-07112018-W,Calculation,7/12/2018 14:17,T,NA,initial,WS,LB,NA,NA,1,,,NA,NA,ALSRNY,quant,R1806544-013,NA,0,mL,NA,NA,NA,NA,NA,,14797-55-8,"NITROGEN, NITRATE (AS N)",0.193,NA,TRG,Yes,Y,,NA,,NA,NA,NA,0.01,mg/l,mg/l,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,R1806544,ALSRNY,WS,N,Field,,R1806544,7/11/2018 12:55,Unknown,NA,NA,NA,NA,NA,7/12/2018,NA,NYSDEC,NA,NA,SC,NA,n,NA,NA,NA,NA,NA,NA
